bib_statuses,location,status,opacmsg,rules_for_requesting,example_bib,example_item,count
Restricted,ClosedStores,Unavailable,Online request,This item is unavailable.,b19173428,i17815125,1
Closed,ClosedStores,Restricted,Online request,,b19350065,i17951057,1
TemporarilyUnavailable,ClosedStores,Available,Online request,Item not available due to provisions of Data Protection Act. Return to Archives catalogue to see when this file will be opened.,b19455586,i18038876,1
ByAppointment,,Unavailable,@ digitisation,This item is unavailable.,b21243189,i18600177,1
,ClosedStores,Available,By approval,,b21366408,i18616185,1
ByAppointment,ClosedStores,Available,By appointment,,b21733326,i1869522x,1
,,Dept material,Staff use only,This item cannot be requested online. Please place a manual request.,b1497535x,i18699145,1
,ClosedStores,Returned to vendor,Online request,,b12706292,i18721163,1
,,Available,Open shelves,Item is on open shelves.  Check Location and Shelfmark for location details.,b24724580,i1873084x,1
Open,ClosedStores,Closed,Unavailable,This item is closed.,b24895787,i18771609,1
Open,ClosedStores,Closed,By appointment,This item is closed.,b28162870,i18850728,1
,ClosedStores,On holdshelf,By appointment,Item is in use by another reader. Please ask at Enquiry Desk.,b28168124,i18854801,1
,ClosedStores,Available,Staff use only,Item cannot be requested online. Please contact Medical Film & Audio Library.   Email: mfac@wellcome.ac.uk. Telephone: +44 (0)20 76118596/97.,b29134754,i1898230x,1
,ClosedStores,Available,Unavailable,Item not available due to provisions of Data Protection Act. Return to Archives catalogue to see when this file will be opened.,b29403480,i19014685,1
,,Available,New books,,b30226284,i19165766,1
ByAppointment,ClosedStores,Available,Staff use only,,b19700003,i19221708,1
,,On exhibition,Unavailable,On exhibition. Please ask at Enquiry Desk.,b31986432,i19354939,1
,,In cataloguing,Ask at desk,,b32503738,i19421382,1
