bib_statuses,location,status,opacmsg,rules_for_requesting,example_bib,example_item,count
,OpenShelves,Claims returned,Open shelves,[empty message],b10010245,i1390856x,4
,ClosedStores,Available,,,b10162008,i14206602,4
,OpenShelves,Available,Ask at desk,Item is on open shelves.  Check Location and Shelfmark for location details.,b16596419,i1590412x,4
Unavailable,ClosedStores,Missing,--,This item is missing.,b1707440x,i16447906,4
Unavailable,ClosedStores,Available,Online request,Item not available due to provisions of Data Protection Act. Return to Archives catalogue to see when this file will be opened.,b18420941,i17280448,4
Closed,,Closed,--,This item is closed.,b18596812,i17412213,4
,,Unavailable,Unavailable,This item is unavailable.,b19461537,i18044499,4
Closed,ClosedStores,Restricted,Online request,Item not available due to provisions of Data Protection Act. Return to Archives catalogue to see when this file will be opened.,b28153650,i18842513,4
,ClosedStores,Withdrawn,Unavailable,This item is withdrawn.,b10360542,i10421920,3
,,Available,Exhib. Gallery,,b16385202,i15606077,3
,ClosedStores,Dept material,Staff use only,,b16456919,i15765738,3
Unavailable,ClosedStores,Missing,-,This item is missing.,b18427856,i17285707,3
ByAppointment,ClosedStores,Closed,Unavailable,This item is closed.,b18678282,i17475867,3
,ClosedStores,Available,By appointment,Item not available due to provisions of Data Protection Act. Return to Archives catalogue to see when this file will be opened.,b18845794,i17610552,3
Unavailable,,Missing,Online request,This item is missing.,b18935679,i17682599,3
Restricted,ClosedStores,Unavailable,@ digitisation,This item is unavailable.,b19200262,i17836566,3
,,On display,Exhib. Gallery,,b3215981x,i19358556,3
,ClosedStores,Withdrawn,Online request,This item is withdrawn.,b12098000,i12325193,2
,,Available,Open shelves,,b12994017,i1317051x,2
,OpenShelves,Missing,,This item is missing.,b10716634,i14610048,2
,ClosedStores,In quarantine,Online request,,b15353035,i1464812x,2
Restricted,,Restricted,Online request,,b17541621,i16909380,2
,,Available,Staff use only,,b18047646,i1705638x,2
Restricted,ClosedStores,Available,-,Item not available due to provisions of Data Protection Act. Return to Archives catalogue to see when this file will be opened.,b18376290,i17246076,2
,ClosedStores,Closed,Online request,This item is closed.,b18454781,i17304878,2
Closed,ClosedStores,Closed,-,This item is closed.,b18685407,i17480899,2
Open,ClosedStores,Unavailable,@ digitisation,This item is unavailable.,b18837086,i17603225,2
ByAppointment,,Permission required,By appointment,[empty message],b20016979,i18303390,2
,,Closed,Unavailable,This item is closed.,b24387149,i18721138,2
,OpenShelves,Available,New books,Item is on open shelves.  Check Location and Shelfmark for location details.,b30874233,i19238459,2
TemporarilyUnavailable,ClosedStores,Closed,Unavailable,This item is closed.,b3183498x,i19343516,2
ByAppointment,ClosedStores,Available,-,,b32494361,i19416817,2
ByAppointment,ClosedStores,Restricted,Online request,Item not available due to provisions of Data Protection Act. Return to Archives catalogue to see when this file will be opened.,b32633130,i19423299,2
,ClosedStores,a,Online request,,b13138443,i13395610,1
,OpenShelves,As above,-,Please request top item.,b15208710,i14508278,1
,ClosedStores,Available,Online request,Please complete a manual request slip.  This item cannot be requested online.,b15208849,i14508473,1
,OpenShelves,Available,,Item is on open shelves.  Check Location and Shelfmark for location details.,b1349885x,i14784270,1
,OpenShelves,Available,-,Item is on open shelves.  Check Location and Shelfmark for location details.,b12109915,i14817937,1
,OpenShelves,On exhibition,Open shelves,On exhibition. Please ask at Enquiry Desk.,b13124201,i14927469,1
,ClosedStores,Missing,Ask at desk,This item is missing.,b15647766,i1493727x,1
,,On exhibition,-,On exhibition. Please ask at Enquiry Desk.,b15731431,i14980721,1
,OpenShelves,Missing,Online request,This item is missing.,b15796413,i15043216,1
,ClosedStores,a,Online request,At digitisation and temporarily unavailable.,b21395287,i16916827,1
,ClosedStores,Missing,@ digitisation,This item is missing.,b17560895,i16926031,1
Open,ClosedStores,0,Online request,,b18276842,i17179749,1
Open,ClosedStores,Permission required,By appointment,[empty message],b18590706,i17407321,1
ByAppointment,,Available,Online request,,b18782036,i17555589,1
Open,ClosedStores,Available,--,,b18848357,i1761255x,1
,ClosedStores,Closed,-,This item is closed.,b18856792,i17619130,1
Restricted,ClosedStores,a,By appointment,,b19088000,i17758907,1
Restricted,ClosedStores,Unavailable,Online request,This item is unavailable.,b19173428,i17815125,1
Closed,ClosedStores,Restricted,Online request,,b19350065,i17951057,1
TemporarilyUnavailable,ClosedStores,Available,Online request,Item not available due to provisions of Data Protection Act. Return to Archives catalogue to see when this file will be opened.,b19455586,i18038876,1
,,Missing,Online request,This item is missing.,b19559835,i18121834,1
ByAppointment,,Unavailable,@ digitisation,This item is unavailable.,b21243189,i18600177,1
,ClosedStores,Available,By approval,,b21366408,i18616185,1
ByAppointment,ClosedStores,Available,By appointment,,b21733326,i1869522x,1
,,Dept material,Staff use only,This item cannot be requested online. Please place a manual request.,b1497535x,i18699145,1
,ClosedStores,Returned to vendor,Online request,,b12706292,i18721163,1
,,Available,Open shelves,Item is on open shelves.  Check Location and Shelfmark for location details.,b24724580,i1873084x,1
Open,ClosedStores,Closed,Unavailable,This item is closed.,b24895787,i18771609,1
Open,ClosedStores,Closed,By appointment,This item is closed.,b28162870,i18850728,1
,ClosedStores,On holdshelf,By appointment,Item is in use by another reader. Please ask at Enquiry Desk.,b28168124,i18854801,1
,ClosedStores,Withdrawn,By appointment,This item is withdrawn.,b28546118,i18929370,1
,ClosedStores,Available,Staff use only,Item cannot be requested online. Please contact Medical Film & Audio Library.   Email: mfac@wellcome.ac.uk. Telephone: +44 (0)20 76118596/97.,b29134754,i1898230x,1
,ClosedStores,Available,Unavailable,Item not available due to provisions of Data Protection Act. Return to Archives catalogue to see when this file will be opened.,b29403480,i19014685,1
Open,ClosedStores,Missing,Online request,This item is missing.,b30156531,i19129658,1
,OpenShelves,Withdrawn,Unavailable,This item is withdrawn.,b30203892,i1913874x,1
,,Available,New books,,b30226284,i19165766,1
ByAppointment,ClosedStores,Available,Staff use only,,b19700003,i19221708,1
,,On exhibition,Unavailable,On exhibition. Please ask at Enquiry Desk.,b31986432,i19354939,1
OpenWithAdvisory,ClosedStores,Available,Online request,,b32236542,i19395176,1
,,In cataloguing,Ask at desk,,b32503738,i19421382,1
